"","Location","Price","Experience","Other","will_attend","ages_bin","distance_bin"
"41","1","1","2","1",0,"03 > 44.7122","02 > 32.4247"
"1271","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"4616","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"2505","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"2448","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"5879","5","3","3","1",0,"02 <= 44.7122","02 > 32.4247"
"6117","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"4177","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"907","1","2","1","4",0,"02 <= 44.7122","02 > 32.4247"
"5290","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"2902","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"6269","5","1","1","2",0,"02 <= 44.7122","02 > 32.4247"
"5227","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"1755","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"2171","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"407","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"294","1","1","2","1",0,"03 > 44.7122","02 > 32.4247"
"372","1","1","2","1",0,"03 > 44.7122","01 <= 32.4247"
"4225","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"6513","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"5586","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"2127","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"1438","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"4943","4","4","1","1",0,"01 <= 34.9769","02 > 32.4247"
"3369","3","2","2","1",0,"03 > 44.7122","01 <= 32.4247"
"4924","4","3","1","4",0,"03 > 44.7122","02 > 32.4247"
"542","1","3","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"2938","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"1596","2","2","3","3",0,"01 <= 34.9769","01 <= 32.4247"
"5337","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"1744","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"6646","5","3","3","1",0,"01 <= 34.9769","01 <= 32.4247"
"5101","4","3","1","4",0,"03 > 44.7122","01 <= 32.4247"
"6602","5","1","1","2",0,"01 <= 34.9769","01 <= 32.4247"
"1476","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"6391","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"1007","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"4043","4","4","1","1",0,"03 > 44.7122","02 > 32.4247"
"6373","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"4634","4","3","1","4",0,"03 > 44.7122","01 <= 32.4247"
"3403","3","1","3","4",0,"01 <= 34.9769","01 <= 32.4247"
"2510","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"2260","2","2","3","3",0,"03 > 44.7122","02 > 32.4247"
"325","1","3","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"4164","4","3","1","4",0,"01 <= 34.9769","02 > 32.4247"
"6467","5","4","2","4",1,"01 <= 34.9769","01 <= 32.4247"
"4405","4","1","2","3",0,"03 > 44.7122","02 > 32.4247"
"3432","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"1010","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"5852","5","2","1","3",0,"03 > 44.7122","01 <= 32.4247"
"3458","3","3","1","3",0,"03 > 44.7122","02 > 32.4247"
"59","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"129","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"971","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"2049","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"5546","5","3","3","1",0,"01 <= 34.9769","01 <= 32.4247"
"3374","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"5396","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"408","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"6229","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"5424","5","3","3","1",0,"03 > 44.7122","01 <= 32.4247"
"529","1","3","2","2",0,"01 <= 34.9769","02 > 32.4247"
"4032","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"4795","4","3","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"3447","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"4830","4","3","1","4",0,"03 > 44.7122","01 <= 32.4247"
"5029","4","1","2","3",0,"01 <= 34.9769","01 <= 32.4247"
"642","1","2","1","4",0,"03 > 44.7122","01 <= 32.4247"
"2667","3","2","2","1",0,"03 > 44.7122","02 > 32.4247"
"1974","2","1","1","1",0,"03 > 44.7122","02 > 32.4247"
"4137","4","1","2","3",0,"03 > 44.7122","01 <= 32.4247"
"6528","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"4142","4","4","1","1",0,"03 > 44.7122","01 <= 32.4247"
"3493","3","3","1","3",0,"01 <= 34.9769","01 <= 32.4247"
"6045","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"4269","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"5787","5","3","3","1",0,"03 > 44.7122","01 <= 32.4247"
"1681","2","1","1","1",0,"03 > 44.7122","02 > 32.4247"
"1440","2","4","2","2",0,"03 > 44.7122","01 <= 32.4247"
"4079","4","2","3","2",0,"03 > 44.7122","02 > 32.4247"
"2566","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"5053","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"2541","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"5317","4","1","2","3",0,"03 > 44.7122","02 > 32.4247"
"6057","5","4","2","4",0,"02 <= 44.7122","02 > 32.4247"
"6580","5","1","1","2",0,"01 <= 34.9769","01 <= 32.4247"
"3931","3","4","1","2",0,"01 <= 34.9769","01 <= 32.4247"
"64","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"2144","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"3739","3","2","2","1",0,"03 > 44.7122","01 <= 32.4247"
"3441","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"600","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"4564","4","3","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"4742","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"5344","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"6303","5","2","1","3",0,"01 <= 34.9769","01 <= 32.4247"
"1246","1","1","2","1",0,"03 > 44.7122","01 <= 32.4247"
"1860","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"5167","4","2","3","2",0,"03 > 44.7122","01 <= 32.4247"
"224","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"4483","4","1","2","3",0,"01 <= 34.9769","01 <= 32.4247"
"5422","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"4423","4","3","1","4",0,"03 > 44.7122","02 > 32.4247"
"6298","5","4","2","4",0,"03 > 44.7122","01 <= 32.4247"
"5833","5","2","1","3",1,"02 <= 44.7122","01 <= 32.4247"
"4649","4","3","1","4",0,"03 > 44.7122","02 > 32.4247"
"1234","1","4","3","3",0,"03 > 44.7122","01 <= 32.4247"
"651","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"5383","5","1","1","2",0,"03 > 44.7122","01 <= 32.4247"
"3477","3","2","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"4620","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"1441","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"4195","4","4","1","1",0,"03 > 44.7122","01 <= 32.4247"
"979","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"6385","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"6591","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"3304","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"6120","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"2476","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"5502","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"3719","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"5292","4","3","1","4",0,"03 > 44.7122","02 > 32.4247"
"2341","2","1","1","1",0,"02 <= 44.7122","02 > 32.4247"
"1387","1","2","1","4",0,"03 > 44.7122","01 <= 32.4247"
"5217","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"4540","4","2","3","2",0,"03 > 44.7122","01 <= 32.4247"
"2871","3","1","3","4",0,"03 > 44.7122","02 > 32.4247"
"5624","5","4","2","4",0,"02 <= 44.7122","02 > 32.4247"
"3999","4","4","1","1",0,"03 > 44.7122","02 > 32.4247"
"4920","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"3951","4","4","1","1",0,"03 > 44.7122","01 <= 32.4247"
"5655","5","4","2","4",0,"03 > 44.7122","01 <= 32.4247"
"5404","5","2","1","3",0,"01 <= 34.9769","01 <= 32.4247"
"2526","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"3268","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"6593","5","4","2","4",0,"03 > 44.7122","01 <= 32.4247"
"1156","1","3","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"5535","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"2626","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"6427","5","1","1","2",0,"03 > 44.7122","02 > 32.4247"
"1248","1","4","3","3",0,"03 > 44.7122","01 <= 32.4247"
"4968","4","4","1","1",0,"03 > 44.7122","01 <= 32.4247"
"2045","2","2","3","3",1,"02 <= 44.7122","01 <= 32.4247"
"2513","3","3","1","3",1,"02 <= 44.7122","01 <= 32.4247"
"4976","4","2","3","2",0,"01 <= 34.9769","01 <= 32.4247"
"4667","4","4","1","1",0,"01 <= 34.9769","01 <= 32.4247"
"6099","5","4","2","4",1,"03 > 44.7122","02 > 32.4247"
"5268","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"5491","5","4","2","4",0,"03 > 44.7122","01 <= 32.4247"
"1110","1","4","3","3",0,"03 > 44.7122","01 <= 32.4247"
"2715","3","4","1","2",0,"03 > 44.7122","01 <= 32.4247"
"1300","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"1717","2","2","3","3",0,"01 <= 34.9769","01 <= 32.4247"
"6423","5","3","3","1",0,"03 > 44.7122","02 > 32.4247"
"6772","5","1","1","2",0,"03 > 44.7122","02 > 32.4247"
"2300","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"6208","5","1","1","2",0,"03 > 44.7122","01 <= 32.4247"
"1081","1","1","2","1",0,"03 > 44.7122","02 > 32.4247"
"1037","1","3","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"4986","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"5858","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"2028","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"2056","2","2","3","3",0,"03 > 44.7122","02 > 32.4247"
"6506","5","3","3","1",0,"02 <= 44.7122","02 > 32.4247"
"46","1","2","1","4",0,"03 > 44.7122","02 > 32.4247"
"1813","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"5272","4","3","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"1610","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"3026","3","2","2","1",0,"02 <= 44.7122","02 > 32.4247"
"3886","3","2","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"5892","5","3","3","1",0,"03 > 44.7122","02 > 32.4247"
"818","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"3388","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"4379","4","2","3","2",0,"03 > 44.7122","02 > 32.4247"
"5051","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"611","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"447","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"3667","3","1","3","4",0,"01 <= 34.9769","01 <= 32.4247"
"4295","4","4","1","1",0,"02 <= 44.7122","02 > 32.4247"
"1951","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"4585","4","3","1","4",0,"03 > 44.7122","01 <= 32.4247"
"2489","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"1720","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"6194","5","1","1","2",0,"02 <= 44.7122","02 > 32.4247"
"2839","3","4","1","2",0,"01 <= 34.9769","01 <= 32.4247"
"2155","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"3523","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"4122","4","2","3","2",0,"03 > 44.7122","01 <= 32.4247"
"1122","1","3","2","2",0,"02 <= 44.7122","02 > 32.4247"
"720","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"707","1","1","2","1",0,"03 > 44.7122","01 <= 32.4247"
"6596","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"3517","3","1","3","4",0,"02 <= 44.7122","02 > 32.4247"
"5897","5","3","3","1",1,"01 <= 34.9769","01 <= 32.4247"
"4670","4","2","3","2",0,"03 > 44.7122","02 > 32.4247"
"5961","5","2","1","3",0,"03 > 44.7122","01 <= 32.4247"
"2872","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"3076","3","4","1","2",0,"03 > 44.7122","01 <= 32.4247"
"3932","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"2016","2","4","2","2",0,"03 > 44.7122","01 <= 32.4247"
"3759","3","3","1","3",0,"01 <= 34.9769","01 <= 32.4247"
"3149","3","4","1","2",0,"03 > 44.7122","01 <= 32.4247"
"4577","4","3","1","4",0,"03 > 44.7122","01 <= 32.4247"
"6706","5","4","2","4",0,"02 <= 44.7122","02 > 32.4247"
"3393","3","4","1","2",0,"03 > 44.7122","01 <= 32.4247"
"6470","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"6027","5","2","1","3",0,"03 > 44.7122","01 <= 32.4247"
"3102","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"2499","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"6161","5","4","2","4",0,"01 <= 34.9769","01 <= 32.4247"
"6197","5","4","2","4",0,"03 > 44.7122","01 <= 32.4247"
"5949","5","1","1","2",0,"01 <= 34.9769","01 <= 32.4247"
"5145","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"4108","4","3","1","4",0,"02 <= 44.7122","02 > 32.4247"
"4431","4","3","1","4",0,"03 > 44.7122","02 > 32.4247"
"6144","5","4","2","4",0,"02 <= 44.7122","01 <= 32.4247"
"3504","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"2208","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"5182","4","4","1","1",0,"03 > 44.7122","02 > 32.4247"
"808","1","3","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"6284","5","3","3","1",0,"01 <= 34.9769","02 > 32.4247"
"213","1","4","3","3",0,"03 > 44.7122","01 <= 32.4247"
"1701","2","4","2","2",0,"03 > 44.7122","01 <= 32.4247"
"5739","5","4","2","4",0,"02 <= 44.7122","01 <= 32.4247"
"5537","5","4","2","4",0,"01 <= 34.9769","02 > 32.4247"
"111","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"1202","1","2","1","4",0,"03 > 44.7122","01 <= 32.4247"
"759","1","1","2","1",0,"01 <= 34.9769","02 > 32.4247"
"3131","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"6214","5","4","2","4",0,"03 > 44.7122","02 > 32.4247"
"5402","5","2","1","3",0,"03 > 44.7122","01 <= 32.4247"
"5308","4","4","1","1",0,"03 > 44.7122","02 > 32.4247"
"5989","5","4","2","4",0,"02 <= 44.7122","02 > 32.4247"
"4578","4","4","1","1",0,"01 <= 34.9769","02 > 32.4247"
"543","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"772","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"5187","4","3","1","4",0,"03 > 44.7122","02 > 32.4247"
"6509","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"4515","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"963","1","1","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"2076","2","4","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"1019","1","2","1","4",0,"02 <= 44.7122","02 > 32.4247"
"6499","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"4885","4","1","2","3",0,"01 <= 34.9769","01 <= 32.4247"
"6691","5","2","1","3",1,"01 <= 34.9769","01 <= 32.4247"
"3599","3","1","3","4",0,"02 <= 44.7122","01 <= 32.4247"
"192","1","1","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"2195","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"5600","5","1","1","2",0,"03 > 44.7122","01 <= 32.4247"
"829","1","1","2","1",0,"03 > 44.7122","01 <= 32.4247"
"5162","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"639","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"125","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"1800","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"2680","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"435","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"5190","4","2","3","2",0,"01 <= 34.9769","02 > 32.4247"
"3299","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"3378","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"4594","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"5415","5","4","2","4",0,"02 <= 44.7122","01 <= 32.4247"
"397","1","1","2","1",0,"03 > 44.7122","02 > 32.4247"
"2193","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"5221","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"1845","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"5302","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"1400","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"3611","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"101","1","4","3","3",0,"02 <= 44.7122","02 > 32.4247"
"343","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"3892","3","1","3","4",1,"01 <= 34.9769","01 <= 32.4247"
"4604","4","3","1","4",0,"03 > 44.7122","02 > 32.4247"
"4247","4","4","1","1",0,"02 <= 44.7122","02 > 32.4247"
"3753","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"4407","4","4","1","1",0,"02 <= 44.7122","02 > 32.4247"
"1365","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"1540","2","2","3","3",1,"01 <= 34.9769","01 <= 32.4247"
"2967","3","4","1","2",0,"03 > 44.7122","02 > 32.4247"
"2209","2","4","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"2603","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"2803","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"6201","5","1","1","2",0,"03 > 44.7122","02 > 32.4247"
"1443","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"2371","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"5725","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"3419","3","4","1","2",0,"01 <= 34.9769","01 <= 32.4247"
"3799","3","2","2","1",0,"01 <= 34.9769","02 > 32.4247"
"1671","2","4","2","2",0,"03 > 44.7122","01 <= 32.4247"
"5633","5","4","2","4",1,"02 <= 44.7122","01 <= 32.4247"
"2029","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"4361","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"4012","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"2615","3","1","3","4",0,"02 <= 44.7122","02 > 32.4247"
"2620","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"6234","5","1","1","2",0,"02 <= 44.7122","02 > 32.4247"
"2040","2","4","2","2",0,"03 > 44.7122","01 <= 32.4247"
"103","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"1041","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"1484","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"2521","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"5495","5","1","1","2",0,"03 > 44.7122","02 > 32.4247"
"4767","4","4","1","1",0,"01 <= 34.9769","01 <= 32.4247"
"4366","4","1","2","3",0,"01 <= 34.9769","02 > 32.4247"
"696","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"385","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"6215","5","4","2","4",0,"02 <= 44.7122","01 <= 32.4247"
"4718","4","3","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"3171","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"5694","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"3743","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"4487","4","3","1","4",0,"03 > 44.7122","01 <= 32.4247"
"5886","5","4","2","4",1,"02 <= 44.7122","01 <= 32.4247"
"5412","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"3322","3","3","1","3",0,"03 > 44.7122","02 > 32.4247"
"4046","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"5134","4","4","1","1",0,"02 <= 44.7122","02 > 32.4247"
"6093","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"287","1","2","1","4",0,"03 > 44.7122","01 <= 32.4247"
"4863","4","4","1","1",0,"03 > 44.7122","02 > 32.4247"
"4418","4","4","1","1",0,"03 > 44.7122","02 > 32.4247"
"4015","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"6409","5","3","3","1",0,"03 > 44.7122","01 <= 32.4247"
"4100","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"4230","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"4690","4","3","1","4",0,"02 <= 44.7122","02 > 32.4247"
"3773","3","4","1","2",0,"03 > 44.7122","01 <= 32.4247"
"3708","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"6672","5","3","3","1",0,"02 <= 44.7122","02 > 32.4247"
"5071","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"1166","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"1085","1","2","1","4",0,"03 > 44.7122","01 <= 32.4247"
"3095","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"1562","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"2206","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"4618","4","2","3","2",0,"03 > 44.7122","02 > 32.4247"
"5605","5","4","2","4",0,"03 > 44.7122","01 <= 32.4247"
"1635","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"5100","4","4","1","1",0,"03 > 44.7122","02 > 32.4247"
"3677","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"3412","3","1","3","4",0,"02 <= 44.7122","01 <= 32.4247"
"5046","4","1","2","3",0,"03 > 44.7122","02 > 32.4247"
"6576","5","1","1","2",0,"02 <= 44.7122","02 > 32.4247"
"3997","4","3","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"4152","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"2792","3","2","2","1",0,"03 > 44.7122","01 <= 32.4247"
"2777","3","2","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"6266","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"1978","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"2937","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"4538","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"5208","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"1970","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"4353","4","1","2","3",0,"01 <= 34.9769","02 > 32.4247"
"5034","4","1","2","3",0,"03 > 44.7122","02 > 32.4247"
"5520","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"3967","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"1210","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"5805","5","4","2","4",0,"03 > 44.7122","01 <= 32.4247"
"206","1","1","2","1",0,"01 <= 34.9769","02 > 32.4247"
"6597","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"5478","5","2","1","3",0,"01 <= 34.9769","02 > 32.4247"
"6559","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"1077","1","4","3","3",0,"02 <= 44.7122","02 > 32.4247"
"2107","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
